,dataset,model,col_to_encode_with_new,features,new_encoder_name,roc_auc,col_to_encode_with_new_no_column,features_no_column,new_encoder_name_no_column,roc_auc_no_column,features_drop,new_encoder_name_drop,roc_auc_drop,dataset_col,gain,gain_percentage,mean_length,cardinality,cardinality_div_by_nrows,mean_word_length,mean_word_length_unique,ngrams,ngrams_div_by_nrows,ngrams_div_by_length,ngarms_div_by_length_and_nrows,prop_shared_ngrams
40,ramen_ratings,GradientBoostingClassifier,Country,all,lm__BAAI/bge-large-en-v1.5,0.6740200701205797,no_column,all,openai__,0.6767429631273442,all,drop,0.6476522233375496,ramen_ratings__Country,-0.0027228930067644264,-0.40235261467388966,7.951,38,0.038,1.306,1.306,435,0.435,54.71009935857125,0.05471009935857125,0.04107126436781609
41,ramen_ratings,GradientBoostingClassifier,Country,all,openai__,0.6776296295949089,no_column,all,openai__,0.6767429631273442,all,drop,0.6476522233375496,ramen_ratings__Country,0.0008866664675647451,0.1310196804215457,7.951,38,0.038,1.306,1.306,435,0.435,54.71009935857125,0.05471009935857125,0.04107126436781609
42,ramen_ratings,GradientBoostingClassifier,Variety,all,lm__BAAI/bge-large-en-v1.5,0.6846710883737741,no_column,all,openai__,0.6767429631273442,all,drop,0.688029210120867,ramen_ratings__Variety,0.00792812524642994,1.171512033134815,28.986,973,0.973,4.585,4.525,8937,8.937,308.3212585386048,0.3083212585386048,0.00905840886203424
43,ramen_ratings,GradientBoostingClassifier,Variety,all,openai__,0.6920765328948544,no_column,all,openai__,0.6767429631273442,all,drop,0.688029210120867,ramen_ratings__Variety,0.015333569767510213,2.265789317801131,28.986,973,0.973,4.585,4.525,8937,8.937,308.3212585386048,0.3083212585386048,0.00905840886203424
44,spotify,GradientBoostingClassifier,artist,all,lm__BAAI/bge-large-en-v1.5,0.9304147505727622,no_column,all,openai__,0.8722964576414513,all,drop,0.8609588321111731,spotify__artist,0.05811829293131099,6.662676710673968,13.471,856,0.856,2.223,2.218,9587,9.587,711.676935639522,0.711676935639522,0.0035898612704704314
45,spotify,GradientBoostingClassifier,artist,all,openai__,0.9354189205490656,no_column,all,openai__,0.8722964576414513,all,drop,0.8609588321111731,spotify__artist,0.06312246290761436,7.236354378680765,13.471,856,0.856,2.223,2.218,9587,9.587,711.676935639522,0.711676935639522,0.0035898612704704314
46,spotify,GradientBoostingClassifier,name,all,lm__BAAI/bge-large-en-v1.5,0.9055317197226364,no_column,all,openai__,0.8722964576414513,all,drop,0.8567421307599303,spotify__name,0.0332352620811851,3.8100879339861,18.506,995,0.995,3.563,3.511,12630,12.63,682.4813573976007,0.6824813573976007,0.003920902612826599
47,spotify,GradientBoostingClassifier,name,all,openai__,0.9103834650330391,no_column,all,openai__,0.8722964576414513,all,drop,0.8567421307599303,spotify__name,0.03808700739158788,4.366291649810088,18.506,995,0.995,3.563,3.511,12630,12.63,682.4813573976007,0.6824813573976007,0.003920902612826599
48,us_accidents_counts,GradientBoostingClassifier,State,all,lm__BAAI/bge-large-en-v1.5,0.7240754031702824,no_column,all,openai__,0.7243948940698778,all,drop,0.7164032503752296,us_accidents_counts__State,-0.000319490899595376,-0.04410452119566662,8.07,38,0.038,1.0,1.0,490,0.49,60.718711276332094,0.06071871127633209,0.037163265306122434
49,us_accidents_counts,GradientBoostingClassifier,State,all,openai__,0.7281253400230286,no_column,all,openai__,0.7243948940698778,all,drop,0.7164032503752296,us_accidents_counts__State,0.0037304459531508627,0.5149740816355078,8.07,38,0.038,1.0,1.0,490,0.49,60.718711276332094,0.06071871127633209,0.037163265306122434
50,us_accidents_counts,GradientBoostingClassifier,Zipcode,all,lm__BAAI/bge-large-en-v1.5,0.7459531592915639,no_column,all,openai__,0.7243948940698778,all,drop,0.6286506700610562,us_accidents_counts__Zipcode,0.021558265221686135,2.976037710669803,5.93,992,0.992,1.0,1.0,3751,3.751,632.5463743676223,0.6325463743676223,0.00314316182351373
51,us_accidents_counts,GradientBoostingClassifier,Zipcode,all,openai__,0.7425686021171559,no_column,all,openai__,0.7243948940698778,all,drop,0.6286506700610562,us_accidents_counts__Zipcode,0.018173708047278136,2.508812278503586,5.93,992,0.992,1.0,1.0,3751,3.751,632.5463743676223,0.6325463743676223,0.00314316182351373
52,us_accidents_counts,GradientBoostingClassifier,name,all,lm__BAAI/bge-large-en-v1.5,0.7296985429343892,no_column,all,openai__,0.7243948940698778,all,drop,0.7260384526845067,us_accidents_counts__name,0.005303648864511401,0.7321488469795581,19.722,992,0.992,1.0,1.0,7175,7.175,363.80691613426626,0.36380691613426624,0.00740989547038327
53,us_accidents_counts,GradientBoostingClassifier,name,all,openai__,0.7320212880164816,no_column,all,openai__,0.7243948940698778,all,drop,0.7260384526845067,us_accidents_counts__name,0.007626393946603804,1.0527950996115296,19.722,992,0.992,1.0,1.0,7175,7.175,363.80691613426626,0.36380691613426624,0.00740989547038327
54,us_accidents_severity,GradientBoostingClassifier,State,all,lm__BAAI/bge-large-en-v1.5,0.7385480948263959,no_column,all,openai__,0.7315422234030518,all,drop,0.7200810824031473,us_accidents_severity__State,0.00700587142334419,0.9576851751295596,8.203,37,0.037,1.0,1.0,481,0.481,58.63708399366086,0.05863708399366086,0.0386881496881497
55,us_accidents_severity,GradientBoostingClassifier,State,all,openai__,0.7369529029332889,no_column,all,openai__,0.7315422234030518,all,drop,0.7200810824031473,us_accidents_severity__State,0.005410679530237106,0.7396264162398222,8.203,37,0.037,1.0,1.0,481,0.481,58.63708399366086,0.05863708399366086,0.0386881496881497
56,wine_review,GradientBoostingClassifier,name,all,lm__BAAI/bge-large-en-v1.5,0.8646029858672113,no_column,all,openai__,0.8422383193150115,all,drop,0.7995685345545057,wine_review__name,0.02236466655219982,2.6553845911913507,247.252,999,0.999,41.071,36.09,24922,24.922,100.79594907220164,0.10079594907220164,0.029521988604446003
57,wine_review,GradientBoostingClassifier,name,all,openai__,0.8676378683156613,no_column,all,openai__,0.8422383193150115,all,drop,0.7995685345545057,wine_review__name,0.02539954900064978,3.015719947449923,247.252,999,0.999,41.071,36.09,24922,24.922,100.79594907220164,0.10079594907220164,0.029521988604446003
58,zomato,GradientBoostingClassifier,cuisines,all,lm__BAAI/bge-large-en-v1.5,0.9021113689057232,no_column,all,openai__,0.9011052237254666,all,drop,0.8964483904775516,zomato__cuisines,0.0010061451802565458,0.11165679143405798,27.813,514,0.514,3.771,3.7,1341,1.341,48.21486355301478,0.04821486355301478,0.057747203579418274
59,zomato,GradientBoostingClassifier,cuisines,all,openai__,0.8998661261079764,no_column,all,openai__,0.9011052237254666,all,drop,0.8964483904775516,zomato__cuisines,-0.0012390976174901924,-0.13750864880877656,27.813,514,0.514,3.771,3.7,1341,1.341,48.21486355301478,0.04821486355301478,0.057747203579418274
60,zomato,GradientBoostingClassifier,dish_liked,all,lm__BAAI/bge-large-en-v1.5,0.9027787003133737,no_column,all,openai__,0.9011052237254666,all,drop,0.8909652021914807,zomato__dish_liked,0.0016734765879070634,0.18571378168116245,64.463,846,0.846,8.944,8.401,7637,7.637,118.47106091866654,0.11847106091866653,0.024536990965038582
61,zomato,GradientBoostingClassifier,dish_liked,all,openai__,0.898969060292969,no_column,all,openai__,0.9011052237254666,all,drop,0.8909652021914807,zomato__dish_liked,-0.002136163432497673,-0.23706037610858227,64.463,846,0.846,8.944,8.401,7637,7.637,118.47106091866654,0.11847106091866653,0.024536990965038582
62,zomato,GradientBoostingClassifier,name,all,lm__BAAI/bge-large-en-v1.5,0.9042528882741968,no_column,all,openai__,0.9011052237254666,all,drop,0.8972265801465509,zomato__name,0.003147664548730167,0.3493115416329163,15.578,785,0.785,2.562,2.556,8402,8.402,539.3503659006291,0.5393503659006291,0.004848131397286362
63,zomato,GradientBoostingClassifier,name,all,openai__,0.9031545302131139,no_column,all,openai__,0.9011052237254666,all,drop,0.8972265801465509,zomato__name,0.002049306487647229,0.22742144132454575,15.578,785,0.785,2.562,2.556,8402,8.402,539.3503659006291,0.5393503659006291,0.004848131397286362
