dataset,encoder_name,match_score,recall,precision,f1
SoccerTournament,lm__intfloat/e5-base,0.4,0.896551724137931,0.896551724137931,0.896551724137931
SoccerTournament,lm__intfloat/e5-base,0.3,0.896551724137931,0.896551724137931,0.896551724137931
SoccerTournament,lm__intfloat/e5-small-v2,0.9,0.4689655172413793,0.918918918918919,0.6210045662100456
SoccerTournament,lm__intfloat/e5-small-v2,0.8,0.7068965517241379,0.9360730593607306,0.8055009823182712
SoccerTournament,lm__intfloat/e5-small-v2,0.7,0.8517241379310345,0.9216417910447762,0.885304659498208
SoccerTournament,lm__intfloat/e5-small-v2,0.6,0.896551724137931,0.896551724137931,0.896551724137931
SoccerTournament,lm__intfloat/e5-small-v2,0.5,0.896551724137931,0.896551724137931,0.896551724137931
SoccerTournament,lm__intfloat/e5-small-v2,0.4,0.896551724137931,0.896551724137931,0.896551724137931
SoccerTournament,lm__intfloat/e5-small-v2,0.3,0.896551724137931,0.896551724137931,0.896551724137931
SoccerTournament,lm__intfloat/e5-small,0.9,0.506896551724138,0.9245283018867925,0.6547884187082406
SoccerTournament,lm__intfloat/e5-small,0.8,0.7517241379310344,0.9356223175965666,0.8336520076481836
SoccerTournament,lm__intfloat/e5-small,0.7,0.8758620689655172,0.9202898550724637,0.8975265017667845
SoccerTournament,lm__intfloat/e5-small,0.6,0.8931034482758621,0.8931034482758621,0.893103448275862
SoccerTournament,lm__intfloat/e5-small,0.5,0.8931034482758621,0.8931034482758621,0.893103448275862
SoccerTournament,lm__intfloat/e5-small,0.4,0.8931034482758621,0.8931034482758621,0.893103448275862
SoccerTournament,lm__intfloat/e5-small,0.3,0.8931034482758621,0.8931034482758621,0.893103448275862
SoccerTournament,lm__TaylorAI/gte-tiny,0.9,0.5344827586206896,0.9281437125748503,0.6783369803063457
SoccerTournament,lm__TaylorAI/gte-tiny,0.8,0.7241379310344828,0.8974358974358975,0.8015267175572519
SoccerTournament,lm__TaylorAI/gte-tiny,0.7,0.8206896551724138,0.8814814814814815,0.8500000000000001
SoccerTournament,lm__TaylorAI/gte-tiny,0.6,0.8586206896551725,0.8615916955017301,0.8601036269430054
SoccerTournament,lm__TaylorAI/gte-tiny,0.5,0.8620689655172413,0.8620689655172413,0.8620689655172413
SoccerTournament,lm__TaylorAI/gte-tiny,0.4,0.8620689655172413,0.8620689655172413,0.8620689655172413
SoccerTournament,lm__TaylorAI/gte-tiny,0.3,0.8620689655172413,0.8620689655172413,0.8620689655172413
SoccerTournament,lm__gtr-t5-large,0.9,0.5482758620689655,0.9034090909090909,0.6824034334763949
SoccerTournament,lm__gtr-t5-large,0.8,0.7413793103448276,0.899581589958159,0.8128544423440454
SoccerTournament,lm__gtr-t5-large,0.7,0.8241379310344827,0.8690909090909091,0.8460176991150443
SoccerTournament,lm__gtr-t5-large,0.6,0.8379310344827586,0.8379310344827586,0.8379310344827586
SoccerTournament,lm__gtr-t5-large,0.5,0.8379310344827586,0.8379310344827586,0.8379310344827586
SoccerTournament,lm__gtr-t5-large,0.4,0.8379310344827586,0.8379310344827586,0.8379310344827586
SoccerTournament,lm__gtr-t5-large,0.3,0.8379310344827586,0.8379310344827586,0.8379310344827586
SoccerTournament,lm__intfloat/multilingual-e5-small,0.9,0.07931034482758621,0.6764705882352942,0.14197530864197533
SoccerTournament,lm__intfloat/multilingual-e5-small,0.8,0.7241379310344828,0.9333333333333333,0.8155339805825242
SoccerTournament,lm__intfloat/multilingual-e5-small,0.7,0.8482758620689655,0.9213483146067416,0.8833034111310593
SoccerTournament,lm__intfloat/multilingual-e5-small,0.6,0.9103448275862069,0.9103448275862069,0.9103448275862069
SoccerTournament,lm__intfloat/multilingual-e5-small,0.5,0.9103448275862069,0.9103448275862069,0.9103448275862069
SoccerTournament,lm__intfloat/multilingual-e5-small,0.4,0.9103448275862069,0.9103448275862069,0.9103448275862069
SoccerTournament,lm__intfloat/multilingual-e5-small,0.3,0.9103448275862069,0.9103448275862069,0.9103448275862069
SoccerTournament,lm__all-mpnet-base-v2,0.9,0.5758620689655173,0.912568306010929,0.7061310782241015
SoccerTournament,lm__all-mpnet-base-v2,0.8,0.7379310344827587,0.8916666666666667,0.8075471698113208
SoccerTournament,lm__all-mpnet-base-v2,0.7,0.8137931034482758,0.8773234200743495,0.8443649373881932
SoccerTournament,lm__all-mpnet-base-v2,0.6,0.8413793103448276,0.8413793103448276,0.8413793103448276
SoccerTournament,lm__all-mpnet-base-v2,0.5,0.8413793103448276,0.8413793103448276,0.8413793103448276
